,id,subject_rf,name_full,name_short,name_employee,inn,orn,legal_address,actual_address,phone,email,site,count_mkd,area_total,w_summ
0,8922890,город Москва,"Общество с ограниченной ответственностью ""Главное управление жилищным фондом""","ООО ""ГУЖФ""",Глеб Вадимиович Смирнов,7704307993,1157746180305.0,"г. Москва, пр-кт. Комсомольский, д. 18, стр. 3","г. Москва, пр-кт. Комсомольский, д. 18, стр. 3",8-800-200-50-58,info@guzhf.ru,http://www.guzhf.ru/,22.0,57963.4,35.0
1,8938247,город Москва,"Федеральное государственное бюджетное учреждение ""Центральное жилищно-коммунальное управление"" Министерств обороны Российской Федерации","ФГБУ ""ЦЖКУ"" Минобороны России",Александр Анатольевич Жданов,7729314745,1027700430889.0,"г. Москва, ул. Спартаковская, д. 2Б","г. Москва, ул. Спартаковская, д. 2Б",9263148764,info@zhky.ru,,44.0,74100.44,42.0
2,8919644,город Санкт-Петербург,"Общество с ограниченной ответственностью ""Центр управления эксплуатации""","ООО ""ЦУЭ""",Дмитрий Сергеевич Лаврентьев,7814421900,1089848006709.0,"г. Санкт-Петербург, пр-кт. Коломяжский, д. 36/2, п. 6Н","г. Санкт-Петербург, пр-кт. Коломяжский, д. 36/2, п. 6Н","(812) 243-99-70, 8-921-897-3136, 8-913-206-95-10",office@yk-cue.ru,http://yk-cue.ru/,4.0,48527.5,41.0
3,8923006,Новосибирская область,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ  ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""СФЕРА""","OOO УК ""СФЕРА""",Анжела Сергеевна Пухальская,5401951838,1155476030555.0,"г. Новосибирск, ул. Римского-Корсакова, д. 4","г. Новосибирск, ул. Новосибирская, д. 27, п. 149",8(383)287-60-02 круглосуточно,ooouksfera@mail.ru,http://731.degkh.ru/ooo_uk_sfera/,2.0,36046.3,32.5
4,8936587,Новосибирская область,Администрация Верх-Тулинского сельсовета Новосибирской области,Администрация Верх-Тулинского сельсовета Новосибирской области,Ирина Юрьевна Ена ,5433108109,1035404348671.0,"г. Новосибирск, ул. Советская, д. 1, к. 0","г. Новосибирск, ул. Советская, д. 1, к. 0",+7(383)2933-269,v2933149@yandex.ru,adm-verh-tula.ru,1.0,300.9,20.0
5,8936453,Новосибирская область,Администрация Новопичуговского сельсовета Ордынского района Новосибирской области,Администрация Новопичуговского сельсовета,Сергей Анатольевич Игашев,5434100529,1025404498349.0,"с. Новопичугово, ул. Ленина, д. 24","с. Новопичугово, ул. Ленина, д. 24",3835943120,amopichugi@mail.ru,,2.0,1146.2,24.0
6,8922999,Новосибирская область,"ТСЖ ""Аникинское""",Аникинское ТСЖ,Владимир Викторович Поваров,5403170685,1045401311108.0,"г. Новосибирск, ул. Аникина, д. 25а","г. Новосибирск, ул. Аникина, д. 25а",9139591588,anikinskoe@mail.ru,http://anikina25a.3dn.ru/,1.0,4283.4,29.5
7,8923110,Новосибирская область,Автономная некоммерческая управляющая организация «Альтернатива в ЖКХ»,АНУО «Альтернатива в ЖКХ»,Анатолий Алексеевич Кустов,5406747931,1135476088880.0,"г. Новосибирск, пр-кт. Красный, д. 51/3, п. 41","г. Новосибирск, пр-кт. Красный, д. 51/3, п. 41",+7 913 920 2318,office@uprav-tsg.ru,www.uprav-tsg.ru,2.0,40879.6,32.0
8,8939358,Новосибирская область,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУНИЦИПАЛЬНАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""","АО ""МУК""",Раиса Ниазовна Протасова,5406982653,1175476115330.0,"г. Новосибирск, ул. Татарская, д. 83, п. 6","г. Новосибирск, ул. Татарская, д. 83, п. 6",8(383)209-04-94,ao.muk.nsk@gmail.com,,2.0,1686.8,26.0
9,8592266,Новосибирская область,"Акционерное Общество ""Птицефабрика имени 50-летия СССР""","АО ""Птицефабрика имени 50-летия СССР""",Андрей Альбертович Биль,5425001169,1065464012327.0,с. Прокудское,"с. Прокудское, д. 1",(383-51) 42-222,Secr1.PMNovos@nsk.prodo.ru,www.prodo.ru,7.0,29107.0,34.0
10,8938371,Новосибирская область,"Акционерное общество ""Сибирский Сервисный центр""","АО ""ССЦ""",Александр Николаевич Лисов,5406613110,1165476125297.0,"г. Новосибирск, ул. Максима Горького, д. 87, п. 5","г. Новосибирск, ул. Эйхе, д. 8",,,,1.0,591.2,20.0
11,8927271,Новосибирская область,"Акционерное общество Управляющая компания ""Перспектива""","АО УК ""Перспектива""",Вячеслав Александрович Петраш,5401384875,1145476155945.0,"г. Новосибирск, ул. Эйхе, д. 8","г. Новосибирск, ул. Эйхе, д. 8",8-383-307-02-06,info@pers54.ru,http://pers54.ru,147.0,364792.3,33.0
12,8922372,Новосибирская область,Доволенское муниципальное унитарное предприятие коммунального хозяйства,Доволенское МУП КХ,Елена Сергеевна Шмидт,5420102580,1055456013128.0,"с. Баклуши, ул. Заводская, д. 23","с. Баклуши, ул. Заводская, д. 23",8923-126-3283,pk588@mail.ru,http://www.adm-dovolnoe.ru/economica_razdel.php?id_blok1_levelpages1=3&razdel=economica,32.0,25806.8,35.0
13,8623304,Новосибирская область,Жилищно-строительный кооператив №22,Жилищно-строительный кооператив №22,Ольга Ивановна Губанова,5445009159,1025404728458.0,"г. Бердск, ул. Красная Сибирь, д. 118","г. Бердск, ул. Красная Сибирь, д. 118, п. 124",89139588627,tg_v@rambler.ru,,1.0,7370.6,28.0
14,8931245,Новосибирская область,"Жилищно-строительный кооператив""Учитель"" Ж,С.К. ""Учитель""","Жилищно-строительный кооператив ""Учитель"" Ж.С.К. ""Учитель""",Зоя Валерьевна Виноградова,5447105404,1025406824761.0,"г. Куйбышев, кв-л. 13-й, д. 2","г. Куйбышев, кв-л. 13-й, д. 2",89139571566,y4utel.kainsk@yandex.ru,,1.0,2586.8,31.5
15,8916067,Новосибирская область,"Жилищный Кооператив ""50 лет Октября""","ЖК ""50 лет Октября""",Наталья Анатольевна Максименко,5404136503,1035401491223.0,"г. Новосибирск, ул. Немировича-Данченко, д. 18/1","г. Новосибирск, ул. Немировича-Данченко, д. 18/1",89134513199,october_50@mail.ru,,1.0,2817.3,30.5
16,8592971,Новосибирская область,"Жилищный кооператив ""50 лет СССР""","ЖК ""50 лет СССР""",Ольга Олеговна Колосова,5410109554,1025403907000.0,"г. Новосибирск, ул. Новая Заря, д. 25/1","г. Новосибирск, ул. Новая Заря, д. 25/1",+79133854607,50letsssr@ngs.ru,,1.0,5128.6,35.0
17,8920777,Новосибирская область,Жилищный кооператив «Алмаз»,ЖК «Алмаз»,Юрий Алексеевич Баев,5403119777,1025401317996.0,"г. Новосибирск, ул. Тульская, д. 90, п. 270","г. Новосибирск, ул. Тульская, д. 90, п. 270",314-34-73,Zhk.almaz.nsk@mail.ru,https://www.reformagkh.ru/mymanager/organization/8920777/,1.0,26000.0,30.0
18,8567007,Новосибирская область,"Жилищный кооператив ""Березка""","ЖК ""Березка""",Тамара Ильинична Овешникова,5401102168,1035400514214.0,"г. Новосибирск, ул. Индустриальная, д. 7","г. Новосибирск, ул. Индустриальная, д. 7",279-00-46,esperansa68@rambler.ru,731.degkh.ru/zhk_berezka/,1.0,4566.0,32.0
19,8605084,Новосибирская область,"Жилищный  кооператив  ""Весна""","Ж К  ""Весна""",Нелли Васильевна Мазур,5401102175,1035400527513.0,"г. Новосибирск, ул. Трикотажная, д. 33","г. Новосибирск, ул. Трикотажная, д. 33",2790403,lesh@ngs.ru,http://dom.nsk.ru/company/1635,1.0,3297.0,27.0
20,8613520,Новосибирская область,"Жилищный кооператив ""Глобус 2001""","ЖК ""Глобус 2001""",Людмила Петровна Кузнецова,5406202889,1035402456957.0,"г. Новосибирск, ул. Октябрьская, д. 81","г. Новосибирск, ул. Октябрьская, д. 81",83832234592,GLOBUS2001@NGS.RU,,1.0,10297.0,30.5
21,8926231,Новосибирская область,"Жилищный Кооператив ""Гурьевский""","ЖК ""Гурьевский""",Марина Витальевна Ушакова,5405188173,1025401909180.0,"г. Новосибирск, ул. Гурьевская, д. 37","г. Новосибирск, ул. Гурьевская, д. 37",8-952-920-19-70,marina_ova@inbox.ru,,1.0,4627.7,32.0
22,8583512,Новосибирская область,"Жилищный кооператив домовладельцев ""Взлёт""",ЖКД Взлёт,Владимир Алексеевич Южаков,5401131842,1035400515721.0,"г. Новосибирск, ул. Адриена Лежена, д. 10, к. 1","г. Новосибирск, ул. Адриена Лежена, д. 10, к. 1",8-913-947-56-02,vzlet67@bk.ru,,1.0,6875.4,21.5
23,8656543,Новосибирская область,"Жилищный кооператив ""Дружба""","ЖК ""Дружба""",Сергей Викторович Белобородов,5404118487,1025401490872.0,"г. Новосибирск, ул. Блюхера, д. 49","г. Новосибирск, ул. Блюхера, д. 49, п. 9",8-961-221-08-88,drujba-jk@mail.ru,,1.0,4153.1,28.0
24,8612812,Новосибирская область,Жилищный кооператив «Дружба-4»,ЖК «Дружба-4»,Галина Семеновна Василенко,5410109466,1025403906494.0,"г. Новосибирск, ул. Учительская, д. 17/1","г. Новосибирск, ул. Учительская, д. 17/1",+7 383 265-71-07,n.n.59trofimova@yandex.ru,http://тсж.жкхнсо.рф/жк-дружба4/,1.0,10055.3,32.5
25,8438131,Новосибирская область,"Жилищный кооператив ""Железнодорожник""","ЖК ""Железнодорожник""",Михаил Васильевич Субботин,5407120244,1025403214693.0,"г. Новосибирск, ул. Ленина, д. 30/1","г. Новосибирск, ул. Ленина, д. 30/1",89139274117,mvs_nsk@mail.ru,,1.0,4332.5,28.5
26,8627433,Новосибирская область,Жилищный кооператив «Звездочка»,ЖК «Звездочка»,Людмила Владимировна Бельских,5401108434,1025400532310.0,"г. Новосибирск, ул. Промышленная, д. 4","г. Новосибирск, ул. Промышленная, д. 4",279-35-88,svetlana.liha4ewa@mail.ru,http://тсж.жкхнсо.рф/жк-звездочка/,1.0,2541.1,27.5
27,8610930,Новосибирская область,"Жилищный кооператив ""Зорька""","ЖК ""Зорька""",Виталий Валентинович Бирюков,5401102055,1025400518659.0,"г. Новосибирск, ш. Гусинобродский тракт, д. 31","г. Новосибирск, ш. Гусинобродский тракт, д. 31",89139319158,zorka.1982@mail.ru,,1.0,4867.5,28.5
28,8578227,Новосибирская область,"ЖИЛИЩНЫЙ КООПЕРАТИВ ""ЛУНА""","ЖК""ЛУНА""",РАИСА ПЕТРОВНА РАКУТОВА,5401108586,1025400518307.0,"г. Новосибирск, ул. Адриена Лежена, д. 14","г. Новосибирск, ул. Адриена Лежена, д. 14, п. 45",89134786449,gskluna@mail.ru,reformagkh.ru,1.0,3046.4,27.5
29,8497014,Новосибирская область,"Жилищный кооператив ""МАЯК""","ЖК ""МАЯК""",Александр Васильевич Родин,5407120910,1025403219050.0,"г. Новосибирск, ул. Челюскинцев, д. 10, п. 9","г. Новосибирск, ул. Челюскинцев, д. 10, п. 9",291-44-42,rodin-cto@mail.ru,www.ru,1.0,4340.2,31.0
30,8927178,Новосибирская область,Жилищный кооператив «Металлург-3»,ЖК «Металлург-3»,Рената Валерьевна Аникина,5404118470,1035401479960.0,"г. Новосибирск, ул. Немировича-Данченко, д. 28","г. Новосибирск, ул. Немировича-Данченко, д. 28",89538055731,anikina-renata@mail.ru,http://тсж.жкхнсо.рф/жк-металлург3/,1.0,3374.8,30.5
31,8829572,Новосибирская область,"Жилищный кооператив ""Мечта""","ЖК ""Мечта""",Наталья Николаевна Бородина,5409103237,1025403870733.0,"г. Новосибирск, ул. Березовая, д. 1","г. Новосибирск, ул. Березовая, д. 1",+7(383)3073140,gk_mechta@mail.ru,,1.0,6116.0,28.5
32,8650760,Новосибирская область,"Жилищный кооператив ""МИР""","ЖК ""МИР""",Дмитрий Михайлович Лизунков,5402103301,1025401027706.0,"г. Новосибирск, ул. Дачная, д. 25/1, п. 73","г. Новосибирск, ул. Дачная, д. 25/1, п. 15",+7 9612286256,ldm.arc@mail.ru,,1.0,4147.6,28.5
33,8929290,Новосибирская область,"Жилищный кооператив ""ПАРУС-1""","ЖК ""ПАРУС-1""",Александр Васильевич Митин,5410109787,1025403914106.0,"г. Новосибирск, ул. Кропоткина, д. 134, п. 201","г. Новосибирск, ул. Кропоткина, д. 134, п. 201",89231245134,avmi58@mail.ru,,1.0,33407.2,30.5
34,8156765,Новосибирская область,"Жилищный Кооператив ""Планета""","ЖК ""Планета""",Андрей Владимирович Прямоносов,5402103358,1025401026562.0,"г. Новосибирск, ул. Дачная, д. 25/2","г. Новосибирск, ул. Дачная, д. 25/2",8 913 380 14 15,planeta25-2@mail.ru,www.планета.жкх-новосибирск.рф,1.0,3210.04,27.5
35,8929193,Новосибирская область,"Жилищный кооператив ""Радуга-2""","ЖК ""Радуга-2""",Владимир Викторович Лобекин,5409104093,1025403868786.0,"г. Новосибирск, ул. Шукшина, д. 7","г. Новосибирск, ул. Шукшина, д. 7",8-913-382-20-33,shukshina7@inbox.ru,,1.0,2582.7,29.5
